Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,year,FundsSource,
82,Washington State U.,17807000,2295000,1998000,5062000,69000,2344000,0,277000,0,4926000,836000,2020,NSF,
83,U. Rochester,16881000,2238000,1980000,1630000,185000,4822000,375000,203000,517000,3844000,1087000,2020,NSF,
84,"U. South Carolina, Columbia",16712000,1232000,1564000,6222000,718000,1424000,19000,338000,0,2464000,2731000,2020,NSF,
85,U. Houston,16703000,1337000,1267000,1422000,2325000,2363000,477000,141000,292000,6959000,120000,2020,NSF,
86,Colorado School of Mines,16181000,2251000,1997000,0,411000,3661000,0,107000,0,6375000,1379000,2020,NSF,
87,"Louisiana State U., Baton Rouge",15899000,851000,1819000,2596000,1466000,5885000,24000,335000,185000,2263000,475000,2020,NSF,
88,"U. California, Santa Cruz",15818000,1989000,3892000,1371000,161000,4527000,42000,458000,0,2888000,490000,2020,NSF,
89,U. Kentucky,15661000,864000,242000,4289000,497000,3331000,0,168000,201000,5695000,374000,2020,NSF,
90,U. Oregon,15062000,844000,2378000,1899000,853000,4116000,588000,1196000,0,0,3188000,2020,NSF,
91,Kansas State U.,14852000,530000,198000,6310000,188000,2140000,0,418000,186000,3319000,1563000,2020,NSF,
92,George Washington U.,14795000,2091000,243000,1392000,398000,2023000,98000,2152000,769000,4856000,773000,2020,NSF,
93,Tufts U.,14208000,1011000,95000,2278000,1615000,1729000,203000,612000,0,5002000,1663000,2020,NSF,
94,U. Idaho,14093000,855000,571000,8118000,118000,3000,0,918000,0,2071000,1439000,2020,NSF,
95,"U. Arkansas, Fayetteville",13559000,1117000,1080000,3178000,69000,1760000,0,304000,0,5926000,125000,2020,NSF,
96,Drexel U.,13275000,1891000,0,1365000,452000,757000,0,1032000,200000,5497000,2081000,2020,NSF,
97,"U. Texas, Dallas",12782000,3516000,163000,264000,565000,1847000,0,302000,3000,5411000,711000,2020,NSF,
98,"U. Montana, Missoula",12725000,966000,1980000,7798000,626000,782000,0,546000,0,0,27000,2020,NSF,
99,"U. South Florida, Tampa",12607000,1732000,2731000,886000,688000,2027000,71000,666000,0,3278000,528000,2020,NSF,
100,Syracuse U.,12593000,773000,1292000,1280000,300000,4229000,0,900000,102000,3605000,112000,2020,NSF,
101,"U. Oklahoma, Norman and Health Science Center",12520000,468000,2464000,3346000,361000,1997000,55000,653000,0,2953000,223000,2020,NSF,
102,Rensselaer Polytechnic Institute,12507000,1638000,372000,1331000,486000,1072000,178000,101000,0,7265000,64000,2020,NSF,
103,Lehigh U.,12443000,1084000,978000,1133000,194000,815000,144000,0,0,7899000,196000,2020,NSF,
104,"Montana State U., Bozeman",12179000,879000,1526000,2514000,743000,1714000,0,35000,1705000,2800000,263000,2020,NSF,
105,Emory U.,12065000,208000,53000,2758000,972000,6331000,338000,634000,0,732000,39000,2020,NSF,
106,U. Maine,11554000,573000,3130000,2607000,65000,734000,0,112000,3267000,927000,139000,2020,NSF,
107,"U. Maryland, Baltimore County",11350000,4579000,394000,978000,354000,1245000,0,102000,1129000,1856000,713000,2020,NSF,
108,New Mexico State U.,11316000,3644000,1081000,1484000,122000,1419000,35000,123000,0,2688000,720000,2020,NSF,
109,George Mason U.,11173000,2653000,1795000,257000,386000,763000,253000,517000,0,2110000,2439000,2020,NSF,
110,"U. North Carolina, Charlotte",11143000,5425000,378000,277000,460000,934000,23000,1279000,0,1868000,499000,2020,NSF,
111,Temple U.,11136000,1759000,321000,1466000,493000,3059000,1814000,478000,0,681000,1065000,2020,NSF,
112,"U. Nevada, Reno",10997000,1159000,1712000,2528000,667000,1705000,331000,247000,49000,2305000,294000,2020,NSF,
113,Rochester Institute of Technology,10792000,3535000,0,181000,979000,2199000,0,125000,0,1730000,2043000,2020,NSF,
114,U. Vermont,10774000,358000,347000,3106000,129000,2018000,0,208000,3819000,789000,0,2020,NSF,
115,"U. Alabama, Tuscaloosa",10698000,1181000,650000,1241000,226000,1597000,305000,529000,0,3824000,1145000,2020,NSF,
116,West Virginia U.,10599000,482000,209000,1369000,296000,4888000,26000,238000,196000,2051000,844000,2020,NSF,
117,Worcester Polytechnic Institute,10551000,4390000,0,476000,380000,580000,0,952000,0,3292000,481000,2020,NSF,
118,U. Wisconsin-Milwaukee,10529000,0,603000,658000,3170000,4237000,49000,109000,0,1392000,311000,2020,NSF,
119,"U. Texas, El Paso",10527000,4804000,757000,1146000,174000,774000,319000,181000,0,2038000,334000,2020,NSF,
120,U. Miami,10214000,0,7132000,1097000,301000,597000,845000,11000,0,147000,84000,2020,NSF,
121,"CUNY, City C.",10122000,477000,248000,643000,273000,3876000,0,0,0,4590000,15000,2020,NSF,
122,Mississippi State U.,9986000,969000,54000,1185000,172000,1093000,0,12000,0,6026000,475000,2020,NSF,
123,New Jersey Institute of Technology,9925000,1981000,0,449000,1204000,3528000,0,0,0,2570000,193000,2020,NSF,
124,Boise State U.,9894000,953000,1895000,2959000,699000,364000,0,13000,253000,1716000,1042000,2020,NSF,
125,U. Iowa,9691000,986000,443000,963000,245000,2926000,254000,606000,86000,1921000,1261000,2020,NSF,
126,"Auburn U., Auburn",9435000,608000,435000,1883000,332000,2201000,38000,27000,286000,3380000,245000,2020,NSF,
127,Northern Arizona U.,9101000,587000,2650000,3172000,0,577000,52000,45000,121000,1094000,803000,2020,NSF,
128,Case Western Reserve U.,9097000,0,84000,1208000,228000,1913000,0,293000,0,4876000,495000,2020,NSF,
129,"U. Texas, Arlington",9087000,2518000,72000,1141000,648000,1928000,0,0,0,2491000,289000,2020,NSF,
130,North Carolina Agricultural and Technical State U.,8725000,585000,0,1292000,635000,889000,0,0,0,4244000,1080000,2020,NSF,
131,Georgia State U.,8620000,985000,149000,517000,478000,3559000,1078000,550000,0,0,1304000,2020,NSF,
132,"SUNY, U. Albany",8569000,863000,3614000,1681000,193000,755000,17000,186000,0,731000,529000,2020,NSF,
133,Wayne State U.,8358000,1060000,115000,1011000,1018000,2904000,1000,152000,0,1829000,268000,2020,NSF,
134,"Oklahoma State U., Stillwater",8336000,277000,55000,1994000,545000,1085000,193000,81000,764000,2968000,374000,2020,NSF,
135,"U. Alabama, Huntsville",8210000,544000,932000,188000,0,4228000,0,10000,0,2293000,15000,2020,NSF,
136,"U. California, San Francisco",8151000,0,0,3962000,0,4189000,0,0,0,0,0,2020,NSF,
137,U. Cincinnati,7959000,123000,171000,1538000,321000,2189000,21000,251000,0,2536000,809000,2020,NSF,
138,Utah State U.,7940000,1407000,0,2072000,215000,1280000,8000,63000,0,2530000,365000,2020,NSF,
139,Texas Tech U.,7778000,1107000,761000,813000,231000,829000,181000,24000,0,3362000,470000,2020,NSF,
140,Jackson State U.,7733000,287000,0,118000,0,6771000,0,31000,0,424000,102000,2020,NSF,
141,U. Louisville,7586000,0,165000,1266000,11000,604000,260000,98000,0,5182000,0,2020,NSF,
141,Virginia Commonwealth U.,7586000,1153000,193000,1321000,435000,872000,139000,128000,0,2810000,535000,2020,NSF,
143,"SUNY, Binghamton U.",7577000,1554000,196000,401000,85000,2984000,0,316000,0,1819000,222000,2020,NSF,
144,"Brigham Young U., Provo",7547000,461000,15000,751000,325000,1339000,40000,60000,0,4483000,73000,2020,NSF,
145,"U. California, Merced",7204000,0,1337000,287000,1104000,1646000,189000,22000,0,2209000,410000,2020,NSF,
146,William & Mary,7153000,1295000,2920000,722000,96000,1564000,161000,124000,0,0,271000,2020,NSF,
147,San Diego State U.,7132000,290000,183000,1472000,856000,1150000,778000,574000,34000,1157000,638000,2020,NSF,
148,Missouri U. of Science and Technology,7046000,762000,0,28000,218000,3161000,0,32000,0,2838000,7000,2020,NSF,
149,New Mexico Institute of Mining and Technology,7040000,718000,5333000,28000,0,818000,0,0,0,143000,0,2020,NSF,
150,Georgetown U.,6952000,1926000,0,1679000,0,1821000,493000,180000,626000,0,227000,2020,NSF,
151,Portland State U.,6868000,636000,734000,1582000,401000,378000,0,443000,477000,1355000,862000,2020,NSF,
152,"Indiana U.-Purdue U., Indianapolis",6840000,2424000,560000,342000,460000,576000,0,599000,447000,1424000,8000,2020,NSF,
153,North Dakota State U.,6758000,463000,99000,1754000,150000,1453000,271000,72000,1478000,583000,435000,2020,NSF,
154,"U. Alabama, Birmingham",6680000,950000,0,2043000,875000,1787000,0,0,0,389000,636000,2020,NSF,
155,Cold Spring Harbor Laboratory,6631000,0,0,6631000,0,0,0,0,0,0,0,2020,NSF,
156,Brandeis U.,6511000,918000,12000,995000,375000,3988000,74000,75000,0,0,74000,2020,NSF,
157,Boston C.,6491000,248000,617000,213000,1064000,1641000,597000,346000,0,0,1765000,2020,NSF,
158,Illinois Institute of Technology,6490000,2218000,232000,62000,389000,604000,0,88000,42000,2855000,0,2020,NSF,
159,"U. Texas, San Antonio",6456000,2913000,330000,377000,115000,996000,12000,350000,0,1253000,110000,2020,NSF,
160,Michigan Technological U.,6007000,1027000,1631000,340000,143000,559000,0,304000,0,1928000,75000,2020,NSF,
161,Old Dominion U.,5985000,457000,1649000,846000,156000,660000,69000,8000,0,1556000,584000,2020,NSF,
162,"U. Puerto Rico, Rio Piedras",5862000,75000,1385000,1095000,0,1895000,0,38000,1022000,270000,82000,2020,NSF,
163,"U. Puerto Rico, Mayaguez",5805000,0,77000,377000,25000,356000,0,3000,0,4967000,0,2020,NSF,
164,U. Colorado Denver and Anschutz Medical Campus,5745000,0,139000,2819000,419000,593000,0,53000,0,1044000,678000,2020,NSF,
165,Tuskegee U.,5718000,388000,0,32000,1140000,149000,0,0,184000,3825000,0,2020,NSF,
166,"U. Massachusetts, Lowell",5669000,760000,571000,80000,0,275000,892000,0,0,2752000,339000,2020,NSF,
167,Tulane U.,5614000,408000,1147000,373000,259000,1795000,0,79000,0,1479000,74000,2020,NSF,
168,Stevens Institute of Technology,5515000,1018000,150000,3000,0,675000,0,0,284000,3169000,216000,2020,NSF,
169,"Rutgers, State U. New Jersey, Newark",5446000,599000,716000,1643000,0,793000,633000,281000,100000,0,681000,2020,NSF,
170,"California State U., Northridge",5291000,201000,986000,1201000,548000,2075000,74000,0,0,103000,103000,2020,NSF,
171,"U. North Texas, Denton",5024000,903000,69000,739000,92000,897000,0,143000,0,1721000,460000,2020,NSF,
172,Howard U.,4974000,540000,0,697000,0,279000,318000,114000,0,3026000,0,2020,NSF,
173,"U. Nevada, Las Vegas",4897000,303000,1092000,834000,15000,469000,0,131000,0,1321000,732000,2020,NSF,
174,U. Akron,4671000,0,173000,237000,49000,2077000,45000,19000,0,2007000,64000,2020,NSF,
175,Southern Methodist U.,4626000,95000,719000,0,565000,793000,0,65000,0,1334000,1055000,2020,NSF,
176,U. of the Virgin Islands,4492000,44000,2809000,9000,694000,749000,0,143000,0,44000,0,2020,NSF,
177,St. Edward's U.,4490000,600000,300000,1000000,600000,490000,0,250000,0,0,1250000,2020,NSF,
178,U. Mississippi,4426000,101000,7000,1125000,47000,2162000,0,28000,0,685000,271000,2020,NSF,
179,"U. Massachusetts, Boston",4408000,371000,541000,323000,12000,1514000,85000,872000,0,320000,370000,2020,NSF,
180,South Dakota School of Mines and Technology,4404000,0,0,0,237000,186000,0,0,0,3981000,0,2020,NSF,
181,"California Polytechnic State U., San Luis Obispo",4232000,136000,264000,524000,1838000,764000,0,32000,0,365000,309000,2020,NSF,
182,U. Southern Mississippi,4231000,38000,892000,384000,8000,2868000,0,29000,0,12000,0,2020,NSF,
183,San Francisco State U.,4221000,52000,784000,1903000,322000,811000,0,44000,169000,136000,0,2020,NSF,
184,Saint Louis U.,4139000,460000,237000,2000000,65000,435000,1000,183000,0,722000,36000,2020,NSF,
185,Florida Atlantic U.,4130000,710000,89000,767000,177000,544000,93000,0,0,1415000,335000,2020,NSF,
186,U. South Dakota,4124000,665000,0,1509000,0,1562000,0,12000,0,376000,0,2020,NSF,
187,Florida A&M U.,4114000,36000,544000,1513000,0,48000,70000,0,0,1844000,59000,2020,NSF,
188,Kent State U.,4082000,452000,124000,455000,286000,1509000,157000,150000,2000,379000,568000,2020,NSF,
189,U. Maryland Center for Environmental Science,4079000,0,1934000,1376000,0,72000,0,0,3000,0,694000,2020,NSF,
190,U. North Dakota,3889000,263000,782000,920000,0,528000,0,41000,598000,496000,261000,2020,NSF,
191,"U. Minnesota, Duluth",3867000,163000,1547000,1741000,66000,263000,0,7000,0,24000,56000,2020,NSF,
192,East Carolina U.,3850000,213000,612000,691000,0,514000,210000,457000,0,162000,991000,2020,NSF,
193,Miami U.,3820000,235000,862000,1745000,139000,116000,56000,0,0,65000,602000,2020,NSF,
194,U. Toledo,3814000,0,287000,680000,36000,447000,7000,0,0,2148000,209000,2020,NSF,
195,"U. Louisiana, Lafayette",3670000,704000,392000,664000,91000,114000,0,0,3000,1225000,477000,2020,NSF,
196,U. Memphis,3627000,1893000,107000,190000,493000,529000,0,0,0,408000,7000,2020,NSF,
197,Scripps Research Institute,3550000,0,0,3550000,0,0,0,0,0,0,0,2020,NSF,
198,U. South Alabama,3510000,1085000,1087000,307000,47000,102000,0,20000,0,492000,370000,2020,NSF,
199,"CUNY, Hunter C.",3483000,116000,11000,868000,70000,804000,28000,509000,0,0,1077000,2020,NSF,
200,Clarkson U.,3433000,274000,21000,83000,222000,712000,0,16000,0,1980000,125000,2020,NSF,
201,Louisiana Tech U.,3431000,0,0,30000,195000,288000,92000,0,0,2826000,0,2020,NSF,
202,North Carolina Central U.,3329000,12000,252000,42000,0,2436000,0,0,0,464000,123000,2020,NSF,
203,Marquette U.,3318000,131000,0,801000,878000,616000,0,0,0,841000,51000,2020,NSF,
204,Texas State U.,3232000,541000,347000,296000,799000,406000,0,237000,32000,168000,406000,2020,NSF,
205,U. Texas Rio Grande Valley,3117000,180000,60000,100000,196000,1067000,0,10000,0,1159000,345000,2020,NSF,
206,U. Denver,3099000,99000,103000,243000,68000,1217000,82000,320000,0,870000,97000,2020,NSF,
207,Western Michigan U. and Homer Stryker M.D. School of Medicine,3071000,52000,79000,319000,9000,502000,0,78000,2000,354000,1676000,2020,NSF,
208,Fisk U.,3013000,0,0,2802000,9000,200000,0,2000,0,0,0,2020,NSF,
209,Villanova U.,2965000,106000,349000,333000,0,834000,317000,0,0,581000,445000,2020,NSF,
210,Idaho State U.,2935000,627000,538000,1075000,0,384000,166000,0,0,85000,60000,2020,NSF,
211,"California State Polytechnic U., Pomona",2908000,607000,8000,451000,0,1379000,0,0,327000,115000,21000,2020,NSF,
212,Hampton U.,2892000,699000,774000,211000,0,350000,0,0,0,639000,219000,2020,NSF,
213,Baylor U.,2841000,97000,66000,630000,284000,785000,0,0,597000,382000,0,2020,NSF,
214,Morehouse C.,2776000,782000,0,120000,24000,639000,42000,3000,1166000,0,0,2020,NSF,
215,Bowling Green State U.,2745000,67000,547000,139000,140000,625000,0,20000,0,0,1207000,2020,NSF,
216,"U. Nebraska, Omaha",2739000,1473000,0,357000,138000,0,0,0,0,0,771000,2020,NSF,
217,"California State U., San Marcos",2728000,913000,0,338000,1000,601000,359000,5000,486000,0,25000,2020,NSF,
218,"U. Alaska, Anchorage",2726000,81000,634000,755000,0,0,0,193000,670000,345000,48000,2020,NSF,
219,"U. Tennessee, Chattanooga",2719000,755000,0,547000,78000,0,0,0,0,1339000,0,2020,NSF,
220,"California State U., Los Angeles",2673000,0,0,846000,10000,1151000,25000,247000,0,394000,0,2020,NSF,
221,South Dakota State U.,2635000,0,0,1840000,61000,149000,0,274000,0,269000,42000,2020,NSF,
222,"U. Hawaii, Hilo",2498000,1000,0,1345000,863000,188000,0,101000,0,0,0,2020,NSF,
223,Wake Forest U.,2484000,44000,0,1371000,71000,760000,53000,12000,0,135000,38000,2020,NSF,
224,"California State U., San Bernardino",2474000,241000,80000,39000,87000,1422000,236000,0,0,0,369000,2020,NSF,
225,"U. North Carolina, Greensboro",2468000,221000,0,268000,167000,354000,0,75000,0,0,1383000,2020,NSF,
226,Tennessee Technological U.,2457000,1172000,0,21000,0,623000,0,0,0,641000,0,2020,NSF,
227,Delaware State U.,2456000,0,0,1133000,283000,788000,0,0,0,239000,13000,2020,NSF,
228,Western Washington U.,2412000,0,430000,94000,217000,515000,42000,102000,541000,471000,0,2020,NSF,
229,San Jose State U.,2399000,0,870000,143000,0,449000,83000,23000,0,831000,0,2020,NSF,
230,Ohio U.,2372000,38000,89000,528000,76000,758000,113000,110000,0,647000,13000,2020,NSF,
231,Morgan State U.,2357000,269000,48000,283000,78000,0,0,39000,0,1640000,0,2020,NSF,
232,"Teachers C., Columbia U.",2286000,1130000,0,34000,0,0,16000,1106000,0,0,0,2020,NSF,
233,Montclair State U.,2222000,117000,219000,244000,327000,139000,172000,63000,0,0,941000,2020,NSF,
234,Clark U.,2197000,47000,202000,890000,0,702000,0,356000,0,0,0,2020,NSF,
235,Illinois State U.,2173000,23000,378000,491000,119000,434000,0,0,0,0,728000,2020,NSF,
236,Oakland U.,2145000,240000,0,691000,34000,940000,149000,18000,0,73000,0,2020,NSF,
237,Rockefeller U.,2131000,0,0,1658000,244000,229000,0,0,0,0,0,2020,NSF,
238,Northern Illinois U.,2112000,2000,360000,54000,24000,1075000,86000,73000,0,67000,371000,2020,NSF,
239,Pace U.,2100000,750000,0,473000,0,0,0,0,0,0,877000,2020,NSF,
240,"CUNY, Advanced Science Research Center",2067000,0,0,1048000,0,257000,0,0,0,762000,0,2020,NSF,
241,DePaul U.,2037000,1429000,67000,83000,0,142000,264000,0,0,0,52000,2020,NSF,
242,"CUNY, Graduate Center",1984000,0,0,87000,23000,395000,297000,808000,0,20000,354000,2020,NSF,
243,"U. Washington, Bothell",1959000,0,158000,376000,31000,156000,0,0,66000,0,1172000,2020,NSF,
244,"U. Massachusetts, Dartmouth",1941000,73000,558000,157000,196000,28000,0,1000,0,575000,353000,2020,NSF,
245,"Arkansas State U., Jonesboro",1938000,76000,0,1103000,0,533000,0,0,226000,0,0,2020,NSF,
246,"California State U., Fullerton",1905000,0,145000,369000,0,920000,0,33000,0,430000,8000,2020,NSF,
247,Prairie View A&M U.,1904000,191000,5000,53000,0,140000,0,0,0,1422000,93000,2020,NSF,
248,Rowan U.,1865000,237000,54000,9000,0,293000,0,73000,0,1199000,0,2020,NSF,
249,"CUNY, C. Staten Island",1852000,11000,0,192000,513000,675000,203000,4000,0,221000,33000,2020,NSF,
250,Oregon Health and Science U.,1849000,0,0,1463000,0,0,0,0,0,386000,0,2020,NSF,
251,"Southern U. and A&M C., Baton Rouge",1847000,2000,0,28000,0,298000,0,0,0,1090000,429000,2020,NSF,
252,"Toyota Technological Institute, Chicago",1841000,1841000,0,0,0,0,0,0,0,0,0,2020,NSF,
253,Catholic U. of America,1823000,0,0,161000,0,788000,203000,0,63000,608000,0,2020,NSF,
253,Norfolk State U.,1823000,0,0,114000,48000,372000,0,0,0,1289000,0,2020,NSF,
255,Baylor C. of Medicine,1803000,0,0,1803000,0,0,0,0,0,0,0,2020,NSF,
256,Spelman C.,1776000,34000,0,609000,48000,648000,308000,129000,0,0,0,2020,NSF,
257,Virginia State U.,1769000,0,0,24000,645000,0,0,0,0,88000,1012000,2020,NSF,
258,Clark Atlanta U.,1765000,31000,0,713000,157000,837000,0,0,0,0,27000,2020,NSF,
259,"CUNY, Queens C.",1737000,135000,263000,104000,160000,484000,82000,20000,0,0,489000,2020,NSF,
260,Winston-Salem State U.,1729000,443000,0,469000,0,496000,177000,0,0,0,144000,2020,NSF,
261,"U. North Carolina, Wilmington",1691000,0,821000,593000,35000,199000,0,0,0,43000,0,2020,NSF,
262,U. Colorado Colorado Springs,1683000,841000,12000,80000,11000,69000,141000,46000,0,150000,333000,2020,NSF,
263,"U. Nebraska, central administration",1674000,0,0,1674000,0,0,0,0,0,0,0,2020,NSF,
264,Florida Institute of Technology,1630000,7000,409000,174000,50000,495000,0,0,0,495000,0,2020,NSF,
265,Murray State U.,1609000,0,0,1320000,198000,73000,0,0,0,0,18000,2020,NSF,
266,Dakota State U.,1605000,1557000,0,48000,0,0,0,0,0,0,0,2020,NSF,
267,South Carolina State U.,1572000,104000,0,0,0,627000,0,0,0,292000,549000,2020,NSF,
268,"Southern Illinois U., Edwardsville",1561000,39000,72000,5000,212000,185000,0,19000,130000,58000,841000,2020,NSF,
269,Texas A&M U.-Corpus Christi,1538000,204000,665000,340000,0,60000,0,13000,0,139000,117000,2020,NSF,
270,Harvey Mudd C.,1525000,640000,0,258000,113000,275000,0,0,79000,160000,0,2020,NSF,
271,"Loyola U., Chicago",1522000,65000,0,640000,164000,335000,241000,52000,0,0,25000,2020,NSF,
272,Wellesley C.,1511000,317000,154000,455000,240000,76000,42000,227000,0,0,0,2020,NSF,
273,Embry-Riddle Aeronautical U.,1502000,256000,0,0,23000,811000,0,298000,0,114000,0,2020,NSF,
274,"Southern Illinois U., Carbondale",1495000,33000,526000,215000,0,618000,0,0,27000,76000,0,2020,NSF,
275,Barnard C.,1485000,60000,35000,14000,22000,677000,538000,19000,0,0,120000,2020,NSF,
276,Smith C.,1482000,147000,0,554000,98000,191000,0,0,0,492000,0,2020,NSF,
276,U. Texas Southwestern Medical Center,1482000,0,0,1482000,0,0,0,0,0,0,0,2020,NSF,
278,"California State U., Bakersfield",1478000,0,103000,3000,1319000,29000,0,0,0,24000,0,2020,NSF,
279,"CUNY, Lehman C.",1472000,0,35000,0,259000,619000,0,163000,0,0,396000,2020,NSF,
280,"U. Missouri, Kansas City",1468000,198000,151000,114000,0,388000,0,0,0,617000,0,2020,NSF,
281,Cleveland State U.,1456000,0,0,0,0,75000,0,0,0,1020000,361000,2020,NSF,
281,"SUNY, Polytechnic Institute",1456000,0,0,62000,0,0,0,0,0,1394000,0,2020,NSF,
283,U. Guam,1455000,0,1111000,0,0,0,0,0,0,0,344000,2020,NSF,
284,Naval Postgraduate School,1449000,48000,1156000,0,50000,23000,0,0,0,172000,0,2020,NSF,
285,U. San Diego,1415000,0,152000,31000,78000,616000,0,0,0,451000,87000,2020,NSF,
286,Wichita State U.,1398000,0,0,213000,72000,368000,1000,0,0,716000,28000,2020,NSF,
287,Amherst C.,1396000,0,0,360000,210000,776000,50000,0,0,0,0,2020,NSF,
288,Marshall U.,1358000,0,17000,1301000,0,40000,0,0,0,0,0,2020,NSF,
289,Wesleyan U.,1355000,0,96000,93000,221000,269000,232000,24000,0,0,420000,2020,NSF,
290,"California State U., Fresno",1345000,69000,116000,200000,287000,247000,0,0,0,318000,108000,2020,NSF,
291,"U. Puerto Rico, Medical Sciences Campus",1328000,0,0,1328000,0,0,0,0,0,0,0,2020,NSF,
292,"U. Maryland, Eastern Shore",1312000,0,1312000,0,0,0,0,0,0,0,0,2020,NSF,
293,Middle Tennessee State U.,1292000,179000,0,93000,0,352000,58000,0,0,0,610000,2020,NSF,
294,"Purdue U., Northwest",1278000,382000,0,5000,0,168000,0,0,2000,721000,0,2020,NSF,
295,"California State U., Long Beach",1277000,0,417000,62000,250000,295000,0,22000,0,156000,75000,2020,NSF,
296,"CUNY, Brooklyn C.",1275000,356000,18000,170000,220000,384000,0,0,0,0,127000,2020,NSF,
297,Icahn School of Medicine at Mount Sinai,1274000,0,0,1274000,0,0,0,0,0,0,0,2020,NSF,
298,Chapman U.,1264000,0,0,382000,0,296000,0,136000,0,43000,407000,2020,NSF,
298,Western Kentucky U.,1264000,0,26000,496000,11000,499000,19000,0,0,68000,145000,2020,NSF,
300,Central Michigan U.,1258000,0,122000,715000,52000,165000,34000,86000,0,84000,0,2020,NSF,
301,"U. Missouri, Saint Louis",1256000,0,0,375000,97000,460000,0,23000,0,0,301000,2020,NSF,
302,Bates C.,1255000,113000,91000,725000,8000,192000,61000,65000,0,0,0,2020,NSF,
303,"U. Michigan, Dearborn",1241000,0,0,112000,49000,26000,0,0,0,1034000,20000,2020,NSF,
304,Seattle U.,1212000,0,42000,86000,78000,58000,0,132000,0,0,816000,2020,NSF,
305,"California State U., East Bay",1206000,61000,0,58000,0,231000,0,0,0,0,856000,2020,NSF,
306,"U. Texas Health Science Center, Houston",1179000,0,0,1179000,0,0,0,0,0,0,0,2020,NSF,
307,Alabama State U.,1176000,0,0,1116000,0,60000,0,0,0,0,0,2020,NSF,
308,Florida Gulf Coast U.,1173000,41000,732000,0,149000,204000,0,0,0,47000,0,2020,NSF,
308,U.S. Naval Academy,1173000,200000,127000,0,63000,467000,0,0,0,316000,0,2020,NSF,
310,Desert Research Institute,1163000,0,1163000,0,0,0,0,0,0,0,0,2020,NSF,
311,U. Tulsa,1161000,424000,20000,214000,0,57000,0,129000,0,317000,0,2020,NSF,
312,Reed C.,1145000,61000,0,776000,118000,129000,59000,2000,0,0,0,2020,NSF,
313,"California State U., Chico",1139000,10000,391000,13000,10000,144000,0,0,0,359000,212000,2020,NSF,
314,Texas Southern U.,1137000,148000,176000,0,204000,527000,0,0,0,82000,0,2020,NSF,
315,Xavier U. Louisiana,1134000,87000,0,144000,0,830000,0,0,0,21000,52000,2020,NSF,
316,American U.,1121000,67000,80000,237000,65000,112000,0,240000,0,0,320000,2020,NSF,
317,Tennessee State U.,1082000,18000,0,649000,0,39000,243000,0,0,0,133000,2020,NSF,
318,Carleton C.,1052000,33000,670000,82000,41000,226000,0,0,0,0,0,2020,NSF,
319,Bucknell U.,1046000,23000,21000,83000,214000,169000,0,0,64000,287000,185000,2020,NSF,
320,"California State U., Monterey Bay",1021000,734000,139000,0,148000,0,0,0,0,0,0,2020,NSF,
321,James Madison U.,1018000,18000,92000,180000,89000,486000,0,0,0,117000,36000,2020,NSF,
322,Lewis and Clark C.,994000,27000,11000,417000,45000,494000,0,0,0,0,0,2020,NSF,
323,Texas A&M U.-Kingsville,992000,0,170000,0,0,0,0,0,0,822000,0,2020,NSF,
324,Pacific U.,987000,0,0,22000,9000,21000,0,84000,0,0,851000,2020,NSF,
325,"U. Arkansas, Little Rock",986000,169000,0,88000,0,723000,0,0,0,6000,0,2020,NSF,
326,Humboldt State U.,967000,8000,250000,633000,0,76000,0,0,0,0,0,2020,NSF,
327,Appalachian State U.,958000,224000,223000,193000,5000,126000,20000,167000,0,0,0,2020,NSF,
327,Hofstra U.,958000,0,1000,294000,0,0,0,0,0,283000,380000,2020,NSF,
329,"California State U., Stanislaus",936000,331000,0,404000,194000,0,4000,3000,0,0,0,2020,NSF,
330,Occidental C.,935000,236000,235000,199000,49000,207000,9000,0,0,0,0,2020,NSF,
331,New Mexico Highlands U.,930000,134000,189000,66000,0,541000,0,0,0,0,0,2020,NSF,
332,"CUNY, New York City C. of Technology",900000,177000,0,51000,0,67000,0,0,235000,144000,226000,2020,NSF,
333,U. Dayton,899000,0,39000,246000,0,172000,0,0,0,320000,122000,2020,NSF,
334,"U. Oklahoma, Tulsa",882000,0,0,0,0,0,0,0,0,882000,0,2020,NSF,
335,Williams C.,862000,58000,94000,235000,222000,200000,0,53000,0,0,0,2020,NSF,
336,"U. Nebraska, Medical Center",861000,0,0,861000,0,0,0,0,0,0,0,2020,NSF,
337,"U. Massachusetts, Medical School",857000,0,0,857000,0,0,0,0,0,0,0,2020,NSF,
338,Central Washington U.,846000,0,392000,179000,52000,189000,0,0,0,34000,0,2020,NSF,
339,Hope C.,841000,0,0,175000,0,562000,0,0,0,104000,0,2020,NSF,
340,Bowdoin C.,830000,72000,65000,384000,24000,168000,55000,62000,0,0,0,2020,NSF,
341,Bowie State U.,828000,220000,0,93000,0,175000,0,0,0,0,340000,2020,NSF,
342,Providence C.,818000,0,124000,322000,0,372000,0,0,0,0,0,2020,NSF,
343,Santa Clara U.,808000,11000,0,177000,20000,250000,0,82000,0,261000,7000,2020,NSF,
344,"CUNY, system office",806000,6000,39000,84000,0,0,0,0,0,662000,15000,2020,NSF,
